title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
Zero K,Don DeLillo,2.0,3.19,2016,274,data/goodreads/clean/dion_goodreads_library_export.csv
The Silmarillion,J.R.R. Tolkien,4.0,4.03,1977,386,data/goodreads/clean/dion_goodreads_library_export.csv
Uitgewoond,Cody Hochstenbach,5.0,4.35,2022,347,data/goodreads/clean/dion_goodreads_library_export.csv
Een wonderbaarlijk politicus: Hans van Mierlo 1931-2010,Hubert Smeets,3.0,4.14,,584,data/goodreads/clean/dion_goodreads_library_export.csv
De levens van Jan Six,Geert Mak,3.0,3.87,2016,448,data/goodreads/clean/dion_goodreads_library_export.csv
'In geouwehoer kun je niet wonen': het leven van Jan Schaefer,Louis Hoeks,4.0,4.0,2017,424,data/goodreads/clean/dion_goodreads_library_export.csv
"Schakel (Silo, #2)",Hugh Howey,2.0,4.13,2013,416,data/goodreads/clean/dion_goodreads_library_export.csv
The Island of Dr. Moreau,H.G. Wells,4.0,3.73,1896,160,data/goodreads/clean/dion_goodreads_library_export.csv
Strijd en metamorfose van een vrouw,Édouard Louis,4.0,4.17,2021,106,data/goodreads/clean/dion_goodreads_library_export.csv
Max Havelaar met zombies,Martijn Adelmund,3.0,3.31,,320,data/goodreads/clean/dion_goodreads_library_export.csv
De tolk van Java,Alfred Birney,4.0,3.57,2016,544,data/goodreads/clean/dion_goodreads_library_export.csv
Grand Hotel Europa,Ilja Leonard Pfeijffer,4.0,4.04,2018,547,data/goodreads/clean/dion_goodreads_library_export.csv
Wij zijn de stad. De buitenwijk als kloppend hart,Floor Milikowski,4.0,3.48,,112,data/goodreads/clean/dion_goodreads_library_export.csv
Player Piano,Kurt Vonnegut Jr.,5.0,3.9,1952,341,data/goodreads/clean/dion_goodreads_library_export.csv
Mother Night,Kurt Vonnegut Jr.,4.0,4.23,1961,282,data/goodreads/clean/dion_goodreads_library_export.csv
The End of Eddy,Édouard Louis,4.0,3.94,2014,208,data/goodreads/clean/dion_goodreads_library_export.csv
Het raadsel Spinoza,Irvin D. Yalom,3.0,4.26,2012,432,data/goodreads/clean/dion_goodreads_library_export.csv
De tweede,Lynn  Berger,3.0,3.45,2019,208,data/goodreads/clean/dion_goodreads_library_export.csv
Liefde in tijden van cholera,Gabriel García Márquez,4.0,3.94,1985,511,data/goodreads/clean/dion_goodreads_library_export.csv
"De oorlog tegemoet: Nederlanders en de strijd om Spanje, 1936-1939",Lodewijk Petram,4.0,3.88,2020,351,data/goodreads/clean/dion_goodreads_library_export.csv
Ice,Anna Kavan,4.0,3.65,1967,158,data/goodreads/clean/dion_goodreads_library_export.csv
The Condition of the Working Class in England,Friedrich Engels,4.0,4.03,1845,304,data/goodreads/clean/dion_goodreads_library_export.csv
Lijmen / Het Been,Willem Elsschot,4.0,3.74,1938,211,data/goodreads/clean/dion_goodreads_library_export.csv
De gedrevene: Joop den Uyl 1919-1987,Dik Verkuil,3.0,3.92,,440,data/goodreads/clean/dion_goodreads_library_export.csv
Ooit aten we dieren,Roanne van Voorst,3.0,3.75,2019,256,data/goodreads/clean/dion_goodreads_library_export.csv
Nachtvlucht,Antoine de Saint-Exupéry,4.0,3.79,1931,128,data/goodreads/clean/dion_goodreads_library_export.csv
De saamhorigheidsgroep,Merijn de Boer,3.0,3.38,2020,395,data/goodreads/clean/dion_goodreads_library_export.csv
Gelijke kansen in de stad,Herman Van De Werfhorst,4.0,4.0,2019,240,data/goodreads/clean/dion_goodreads_library_export.csv
Wij slaven van Suriname,Anton de Kom,4.0,4.3,1934,180,data/goodreads/clean/dion_goodreads_library_export.csv
De held van onze tijd,Mikhail Lermontov,5.0,4.11,1839,198,data/goodreads/clean/dion_goodreads_library_export.csv
The Drowned World,J.G. Ballard,3.0,3.47,1962,198,data/goodreads/clean/dion_goodreads_library_export.csv
Kaas,Willem Elsschot,4.0,3.58,1933,126,data/goodreads/clean/dion_goodreads_library_export.csv
Revolusi: Indonesië en het ontstaan van de moderne wereld,David Van Reybrouck,5.0,4.54,2020,640,data/goodreads/clean/dion_goodreads_library_export.csv
Klifi,Adriaan van Dis,3.0,2.96,2021,208,data/goodreads/clean/dion_goodreads_library_export.csv
De vreemdeling,Albert Camus,3.0,4.03,1942,127,data/goodreads/clean/dion_goodreads_library_export.csv
"Max Havelaar, or the Coffee Auctions of the Dutch Trading Company",Multatuli,5.0,3.53,1860,352,data/goodreads/clean/dion_goodreads_library_export.csv
De avond is ongemak,Lucas Rijneveld,4.0,3.45,2018,260,data/goodreads/clean/dion_goodreads_library_export.csv
Congo: een geschiedenis,David Van Reybrouck,5.0,4.39,2010,680,data/goodreads/clean/dion_goodreads_library_export.csv
Het smelt,Lize Spit,4.0,3.68,2016,480,data/goodreads/clean/dion_goodreads_library_export.csv
"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,5.0,4.35,2020,414,data/goodreads/clean/dion_goodreads_library_export.csv
"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,4.0,4.31,2018,415,data/goodreads/clean/dion_goodreads_library_export.csv
The Lathe of Heaven,Ursula K. Le Guin,3.0,4.13,1971,176,data/goodreads/clean/dion_goodreads_library_export.csv
Formule X,Jurriaan Kamer,3.0,3.87,2019,224,data/goodreads/clean/dion_goodreads_library_export.csv
"The Ghost Brigades (Old Man's War, #2)",John Scalzi,2.0,4.12,2006,343,data/goodreads/clean/dion_goodreads_library_export.csv
Fantoomgroei,Sander Heijne,4.0,3.86,,256,data/goodreads/clean/dion_goodreads_library_export.csv
Wibaut de Machtige. Een biografie,Herman de Liagre Böhl,4.0,3.88,2013,576,data/goodreads/clean/dion_goodreads_library_export.csv
Stranger in a Strange Land,Robert A. Heinlein,3.0,3.92,1961,525,data/goodreads/clean/dion_goodreads_library_export.csv
Nooit meer slapen,Willem Frederik Hermans,3.0,3.86,1966,251,data/goodreads/clean/dion_goodreads_library_export.csv
Tsjaikovskistraat 40: Een autobiografische vertelling uit Rusland,Pieter Waterdrinker,3.0,3.57,2017,344,data/goodreads/clean/dion_goodreads_library_export.csv
The Underground Railroad,Colson Whitehead,4.0,4.06,2016,320,data/goodreads/clean/dion_goodreads_library_export.csv
Mijn ontelbare identiteiten,Sinan Çankaya,4.0,4.19,2020,244,data/goodreads/clean/dion_goodreads_library_export.csv
A Clockwork Orange,Anthony Burgess,4.0,4.0,1962,240,data/goodreads/clean/dion_goodreads_library_export.csv
"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,3.0,4.33,1996,411,data/goodreads/clean/dion_goodreads_library_export.csv
La Superba,Ilja Leonard Pfeijffer,4.0,3.74,2013,348,data/goodreads/clean/dion_goodreads_library_export.csv
"Ask the Dust (The Saga of Arturo Bandini, #3)",John Fante,4.0,4.1,1939,165,data/goodreads/clean/dion_goodreads_library_export.csv
Homage to Catalonia,George Orwell,5.0,4.09,1938,232,data/goodreads/clean/dion_goodreads_library_export.csv
De woede van Abraham,Conny Braam,3.0,3.81,2000,302,data/goodreads/clean/dion_goodreads_library_export.csv
Een klein land met verre uithoeken. Ongelijke kansen in veranderend Nederland,Floor Milikowski,4.0,3.42,,296,data/goodreads/clean/dion_goodreads_library_export.csv
Who Fears Death,Nnedi Okorafor,2.0,3.93,2010,386,data/goodreads/clean/dion_goodreads_library_export.csv
The Algebraist,Iain M. Banks,3.0,4.04,2004,434,data/goodreads/clean/dion_goodreads_library_export.csv
Quarantaine,Erik Betten,3.0,3.46,,352,data/goodreads/clean/dion_goodreads_library_export.csv
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.0,4.3,2001,487,data/goodreads/clean/dion_goodreads_library_export.csv
Solaris,Stanisław Lem,4.0,3.99,1961,204,data/goodreads/clean/dion_goodreads_library_export.csv
Otmars zonen,Peter Buwalda,2.0,3.7,2018,607,data/goodreads/clean/dion_goodreads_library_export.csv
The World According to Garp,John Irving,4.0,4.11,1978,610,data/goodreads/clean/dion_goodreads_library_export.csv
Reizen zonder John: op zoek naar Amerika,Geert Mak,3.0,3.89,2012,575,data/goodreads/clean/dion_goodreads_library_export.csv
De meeste mensen deugen: Een nieuwe geschiedenis van de mens,Rutger Bregman,4.0,4.32,2019,523,data/goodreads/clean/dion_goodreads_library_export.csv
The Plague,Albert Camus,4.0,4.02,1947,308,data/goodreads/clean/dion_goodreads_library_export.csv
Weerwater,Renate Dorrestein,3.0,3.21,2015,262,data/goodreads/clean/dion_goodreads_library_export.csv
Politieke Stenogrammen,Willem Schinkel,4.0,4.0,,192,data/goodreads/clean/dion_goodreads_library_export.csv
"Empire Games (Empire Games, #1, Merchant Princes Universe, #7)",Charles Stross,2.0,4.01,2017,336,data/goodreads/clean/dion_goodreads_library_export.csv
The Gone-Away World,Nick Harkaway,4.0,4.1,2008,531,data/goodreads/clean/dion_goodreads_library_export.csv
Bonita Avenue,Peter Buwalda,4.0,3.75,,536,data/goodreads/clean/dion_goodreads_library_export.csv
Echo,Thomas Olde Heuvelt,2.0,3.46,2019,616,data/goodreads/clean/dion_goodreads_library_export.csv
Ivanov,Hanna Bervoets,2.0,3.62,2016,320,data/goodreads/clean/dion_goodreads_library_export.csv
De goede zoon,Rob van Essen,4.0,3.35,2018,384,data/goodreads/clean/dion_goodreads_library_export.csv
Wees onzichtbaar,Murat Isik,4.0,4.25,2017,597,data/goodreads/clean/dion_goodreads_library_export.csv
"MaddAddam (MaddAddam, #3)",Margaret Atwood,2.0,4.02,2013,394,data/goodreads/clean/dion_goodreads_library_export.csv
Mensen op Mars,Joris van Casteren,3.0,3.44,2016,336,data/goodreads/clean/dion_goodreads_library_export.csv
Building and Dwelling: Ethics for the City,Richard Sennett,4.0,4.03,2018,368,data/goodreads/clean/dion_goodreads_library_export.csv
Post Office,Charles Bukowski,3.0,3.93,1971,162,data/goodreads/clean/dion_goodreads_library_export.csv
The Book of Illusions,Paul Auster,3.0,3.9,2002,288,data/goodreads/clean/dion_goodreads_library_export.csv
Behind the Door,Giorgio Bassani,4.0,3.79,1964,150,data/goodreads/clean/dion_goodreads_library_export.csv
Vooruitgang: tien redenen om naar de toekomst uit te kijken,Johan Norberg,4.0,4.05,2016,255,data/goodreads/clean/dion_goodreads_library_export.csv
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.0,4.15,1985,311,data/goodreads/clean/dion_goodreads_library_export.csv
"Consider Phlebas (Culture, #1)",Iain M. Banks,4.0,3.85,1987,467,data/goodreads/clean/dion_goodreads_library_export.csv
Gratis geld voor iedereen (Dutch Edition),Rutger Bregman,4.0,4.22,2014,255,data/goodreads/clean/dion_goodreads_library_export.csv
"Cannery Row (Cannery Row, #1)",John Steinbeck,4.0,4.06,1943,181,data/goodreads/clean/dion_goodreads_library_export.csv
Why Can't You Afford a Home? (The Future of Capitalism),Josh Ryan-Collins,4.0,4.17,,136,data/goodreads/clean/dion_goodreads_library_export.csv
Fight Club,Chuck Palahniuk,4.0,4.18,1996,224,data/goodreads/clean/dion_goodreads_library_export.csv
One Hundred Years of Solitude,Gabriel García Márquez,4.0,4.12,1967,417,data/goodreads/clean/dion_goodreads_library_export.csv
Island,Aldous Huxley,4.0,3.85,1962,354,data/goodreads/clean/dion_goodreads_library_export.csv
Of Mice and Men,John Steinbeck,5.0,3.89,1937,107,data/goodreads/clean/dion_goodreads_library_export.csv
Dubliners,James Joyce,3.0,3.84,1914,352,data/goodreads/clean/dion_goodreads_library_export.csv
The Power,Naomi Alderman,2.0,3.75,2016,341,data/goodreads/clean/dion_goodreads_library_export.csv
"Couscous op zondag, een familiegeschiedenis",Khadija Arib,3.0,3.71,2009,246,data/goodreads/clean/dion_goodreads_library_export.csv
"The New York Trilogy (New York Trilogy, #1-3)",Paul Auster,4.0,3.86,1987,308,data/goodreads/clean/dion_goodreads_library_export.csv
The Grapes of Wrath,John Steinbeck,5.0,4.02,1939,496,data/goodreads/clean/dion_goodreads_library_export.csv
The Left Hand of Darkness,Ursula K. Le Guin,4.0,4.1,1969,304,data/goodreads/clean/dion_goodreads_library_export.csv
The Unbearable Lightness of Being,Milan Kundera,2.0,4.11,1984,314,data/goodreads/clean/dion_goodreads_library_export.csv
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,4.0,4.26,2017,416,data/goodreads/clean/dion_goodreads_library_export.csv
Evicted: Poverty and Profit in the American City,Matthew Desmond,5.0,4.47,2016,418,data/goodreads/clean/dion_goodreads_library_export.csv
"Together: The Rituals, Pleasures and Politics of Cooperation",Richard Sennett,4.0,3.8,2011,336,data/goodreads/clean/dion_goodreads_library_export.csv
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,3.0,4.07,2009,431,data/goodreads/clean/dion_goodreads_library_export.csv
Cat’s Cradle,Kurt Vonnegut Jr.,4.0,4.15,1963,306,data/goodreads/clean/dion_goodreads_library_export.csv
East of Eden,John Steinbeck,5.0,4.43,1952,601,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 7",Brian K. Vaughan,3.0,4.48,2017,152,data/goodreads/clean/dion_goodreads_library_export.csv
House of Leaves,Mark Z. Danielewski,3.0,4.09,2000,710,data/goodreads/clean/dion_goodreads_library_export.csv
De betonnen droom,Daan Dekker,3.0,3.55,2016,336,data/goodreads/clean/dion_goodreads_library_export.csv
Klont,Maxim Februari,4.0,3.03,2017,270,data/goodreads/clean/dion_goodreads_library_export.csv
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.0,4.25,1990,491,data/goodreads/clean/dion_goodreads_library_export.csv
Van wie is de stad. De strijd om Amsterdam,Floor Milikowski,4.0,3.64,2018,286,data/goodreads/clean/dion_goodreads_library_export.csv
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.0,4.2,1993,345,data/goodreads/clean/dion_goodreads_library_export.csv
Central Station,Lavie Tidhar,1.0,3.51,2016,275,data/goodreads/clean/dion_goodreads_library_export.csv
Hex (Robert Grim #1),Thomas Olde Heuvelt,4.0,3.72,2013,384,data/goodreads/clean/dion_goodreads_library_export.csv
Pale Fire,Vladimir Nabokov,5.0,4.17,1962,246,data/goodreads/clean/dion_goodreads_library_export.csv
Happy City: Transforming Our Lives Through Urban Design,Charles Montgomery,4.0,4.36,2012,368,data/goodreads/clean/dion_goodreads_library_export.csv
Verzet! Pleidooi voor communisme,Gustaaf Peek,4.0,2.96,,67,data/goodreads/clean/dion_goodreads_library_export.csv
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,4.0,3.74,1958,215,data/goodreads/clean/dion_goodreads_library_export.csv
Een toekomst voor Europa,Jürgen Habermas,3.0,2.71,,112,data/goodreads/clean/dion_goodreads_library_export.csv
A Scanner Darkly,Philip K. Dick,4.0,4.03,1977,324,data/goodreads/clean/dion_goodreads_library_export.csv
The Time Machine,H.G. Wells,3.0,3.89,1895,118,data/goodreads/clean/dion_goodreads_library_export.csv
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.0,4.0,2003,389,data/goodreads/clean/dion_goodreads_library_export.csv
Joe Speedboot,Tommy Wieringa,4.0,3.68,2005,316,data/goodreads/clean/dion_goodreads_library_export.csv
High-Rise,J.G. Ballard,4.0,3.6,1975,208,data/goodreads/clean/dion_goodreads_library_export.csv
A Clockwork Orange,Anthony Burgess,5.0,4.0,1962,192,data/goodreads/clean/dion_goodreads_library_export.csv
Saga #1,Brian K. Vaughan,4.0,4.2,2012,66,data/goodreads/clean/dion_goodreads_library_export.csv
"Endymion (Hyperion Cantos, #3)",Dan Simmons,3.0,4.19,1996,563,data/goodreads/clean/dion_goodreads_library_export.csv
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,3.0,4.13,2017,144,data/goodreads/clean/dion_goodreads_library_export.csv
Lord of the Flies,William Golding,5.0,3.7,1954,182,data/goodreads/clean/dion_goodreads_library_export.csv
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.0,4.07,1971,204,data/goodreads/clean/dion_goodreads_library_export.csv
Arrival City: The Final Migration and Our Next World,Doug Saunders,5.0,4.09,2010,368,data/goodreads/clean/dion_goodreads_library_export.csv
Underground Airlines,Ben H. Winters,2.0,3.82,2016,336,data/goodreads/clean/dion_goodreads_library_export.csv
The Great Gatsby,F. Scott Fitzgerald,4.0,3.93,1925,180,data/goodreads/clean/dion_goodreads_library_export.csv
I Am Legend and Other Stories,Richard Matheson,4.0,4.0,1954,317,data/goodreads/clean/dion_goodreads_library_export.csv
The Wind-Up Bird Chronicle,Haruki Murakami,4.0,4.14,1994,607,data/goodreads/clean/dion_goodreads_library_export.csv
Pnin,Vladimir Nabokov,4.0,3.88,1957,184,data/goodreads/clean/dion_goodreads_library_export.csv
The Dispossessed,Ursula K. Le Guin,4.0,4.25,1974,387,data/goodreads/clean/dion_goodreads_library_export.csv
"The New Urban Crisis: How Our Cities Are Increasing Inequality, Deepening Segregation, and Failing the Middle Class—and What We Can Do About It",Richard Florida,4.0,3.5,2017,336,data/goodreads/clean/dion_goodreads_library_export.csv
Onder de Mensen?: Over Het Zelfstandig Wonen Van Psychiatrische Patinten En Mensen Met Een Verstandelijke Beperking,Loes Verplanke,4.0,4.0,2010,150,data/goodreads/clean/dion_goodreads_library_export.csv
Animal Farm,George Orwell,5.0,4.01,1945,129,data/goodreads/clean/dion_goodreads_library_export.csv
The Gambler,Fyodor Dostoevsky,4.0,3.91,1866,188,data/goodreads/clean/dion_goodreads_library_export.csv
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,4.0,3.99,1959,354,data/goodreads/clean/dion_goodreads_library_export.csv
Catch-22,Joseph Heller,4.0,3.99,1961,463,data/goodreads/clean/dion_goodreads_library_export.csv
Het pauperparadijs,Suzanna Jansen,4.0,3.77,2008,255,data/goodreads/clean/dion_goodreads_library_export.csv
The Master and Margarita,Mikhail Bulgakov,5.0,4.28,1967,372,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 6",Brian K. Vaughan,4.0,4.46,2016,152,data/goodreads/clean/dion_goodreads_library_export.csv
"Descender, Vol. 1: Tin Stars",Jeff Lemire,5.0,4.08,2015,160,data/goodreads/clean/dion_goodreads_library_export.csv
Never Let Me Go,Kazuo Ishiguro,2.0,3.85,2005,288,data/goodreads/clean/dion_goodreads_library_export.csv
The Man in the High Castle,Philip K. Dick,3.0,3.59,1962,259,data/goodreads/clean/dion_goodreads_library_export.csv
Norwegian Wood,Haruki Murakami,4.0,4.0,1987,296,data/goodreads/clean/dion_goodreads_library_export.csv
De goede stad,Geert Mak,4.0,3.12,2001,255,data/goodreads/clean/dion_goodreads_library_export.csv
Armor,John Steakley,3.0,4.1,1984,426,data/goodreads/clean/dion_goodreads_library_export.csv
Watchmen,Alan Moore,5.0,4.39,1987,416,data/goodreads/clean/dion_goodreads_library_export.csv
Rebel Cities: From the Right to the City to the Urban Revolution,David Harvey,4.0,3.92,2012,206,data/goodreads/clean/dion_goodreads_library_export.csv
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,3.0,4.12,1973,243,data/goodreads/clean/dion_goodreads_library_export.csv
"Normal (Normal, #1-4)",Warren Ellis,3.0,3.64,2016,148,data/goodreads/clean/dion_goodreads_library_export.csv
Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,5.0,4.09,1968,0,data/goodreads/clean/dion_goodreads_library_export.csv
The Brothers Karamazov,Fyodor Dostoevsky,4.0,4.38,1880,796,data/goodreads/clean/dion_goodreads_library_export.csv
Pushing Ice,Alastair Reynolds,3.0,4.07,2005,458,data/goodreads/clean/dion_goodreads_library_export.csv
En ik herinner me Titus Broederland,Auke Hulst,3.0,3.7,2016,272,data/goodreads/clean/dion_goodreads_library_export.csv
